STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,CLIMATE_ZONE
SP000006155,36.6667,-4.4881,7.0,"MALAGA AEROPUERTO, SP",23.160600132625994,13.73470822281167,11.532775198938992,43955.9,9.425891909814325,157882.8,96,819,Templado-Húmedo
SP000008027,43.3075,-2.0392,251.0,"SAN SEBASTIAN IGUELDO, SP",16.315378016382553,10.341969227363295,6.943336285145008,154456.1,5.973408789019261,78026.5,1161,55,Frío-Húmedo
SP000008181,41.2928,2.0697,4.0,"BARCELONA AEROPUERTO, SP",20.01681894344156,11.548095223040688,9.654765894217698,54047.5,8.468723720400872,122341.8,1219,18,Frío-Húmedo
SP000008202,40.9592,-5.4981,790.0,"SALAMANCA AEROPUERTO, SP",18.644414531079605,5.526182524536532,7.914711695747001,30437.3,13.118232006543076,79319.6,6430,601,Frío-Húmedo
SP000008215,40.7806,-4.0103,1894.0,"NAVACERRADA, SP",10.557076848249029,3.085617009449694,4.429936770428015,105491.9,7.471459838799333,37998.3,10959,0,Frío-Húmedo
SP000008280,38.9519,-1.8631,704.0,"ALBACETE LOS LLANOS, SP",20.30456113000756,7.380574452003024,6.565247071050642,30695.5,12.923986678004535,112629.3,7291,2032,Frío-Húmedo
SP000008410,37.8442,-4.8458,90.0,"CORDOBA AEROPUERTO, SP",25.062948605727147,10.888378975449127,14.57548247259389,38890.9,14.17456963027802,166930.0,1356,4200,Templado-Húmedo
SP000009981,40.8206,0.4914,44.0,"TORTOSA OBSERVATORIO DEL EBR, SP",22.735677828385707,11.607951294316907,7.534082534160353,63767.2,11.1277265340688,153864.5,863,971,Frío-Húmedo
SP000060010,28.3089,-16.4992,2371.0,"IZANA, SP",13.799334412194613,6.03197953643767,2.5037064105241176,45738.7,7.7673548757569435,25511.1,6489,0,Frío-Húmedo
SP000060040,28.9517,-13.6003,14.0,"LANZAROTE AEROPUERTO, SP",24.956768164003616,17.11461662144508,20.82358556928952,5391.2,7.842151542558537,216341.0,168,237,Cálido-Húmedo
SPE00119711,43.3669,-8.4192,58.0,"A CORUNA, SP",17.56845351867941,11.2798696785404,8.02143643208804,94610.3,6.288583840139009,89666.0,91,3,Frío-Húmedo
SPE00119720,43.3067,-8.3719,98.0,"A CORUNA ALVEDRO, SP",18.137143296275426,9.449638813463805,13.581453967928686,56456.3,8.687504482811619,89763.1,705,13,Templado-Húmedo
SPE00119729,42.8878,-8.4106,370.0,"SANTIAGO DE COMPOSTELA LABACOL, SP",17.268947332607514,7.891436445291236,8.10372210125204,145588.2,9.377510887316276,65245.4,1453,78,Frío-Húmedo
